radical	species	ID
abe	Metschnikowia abeerdenia	01234
ari	Metschnikowia arizonensis
aus	Metschnikowia australis
bic
bor
bow
cer
cla
clv
col
con
cos
cub
dek
dra
flo
gol
ham
haw
hib
ipo
kam
kip
loc
mar
mat
mau
mer
pal
pil
pro
sce
shi
sim
sma
tor
